"EQID","STATID","mag","rupture_complete","JB_complete","fm_type_code","vs30","rotD50_pga","ev_latitude","ev_longitude","st_latitude","st_longitude","X_ev","Y_ev","X_stat","Y_stat"
1,13,4.48,22.4877744563574,20.9,"NF",774.749229,4.118278,39.8692,16.1022,39.8772,16.3459,594.26377709254,4413.82111540002,615.093058737298,4414.99454472469
1,14,4.48,105.72629758012,105.4,"NF",831.788837,0.0555415,39.8692,16.1022,39.0359,16.6886,594.26377709254,4413.82111540002,646.149339275559,4322.11704690982
1,15,4.48,154.023796862693,153.8,"NF",719.555238,0.026892,39.8692,16.1022,41.135,15.365,594.26377709254,4413.82111540002,530.634368037075,4553.80770900228
1,16,4.48,23.6072022908264,22.1,"NF",1131.513857,0.773902,39.8692,16.1022,39.8218,15.8518,594.26377709254,4413.82111540002,572.898533136812,4408.32610224396
1,17,4.48,13.9402295533467,11.2,"NF",536.077146,7.8860215,39.8692,16.1022,39.9487,16.0224,594.26377709254,4413.82111540002,587.337853375574,4422.56382545395
2,18,5.02,185.062259793833,184,"SS",511.624758,0.112088,44.1643,10.4458,43.3152,12.4073,135.868663968868,4900.21504409726,289.75239391883,4799.08267971085
2,19,5.02,185.360540568914,184.3,"SS",1032.616466,0.232338,44.1643,10.4458,45.8228,10.4664,135.868663968868,4900.21504409726,147.844257466397,5084.36214532109
2,20,5.02,25.8379565755499,16.6,"SS",883.359304,67.9305955,44.1643,10.4458,44.0624,10.597,135.868663968868,4900.21504409726,147.351897942078,4888.23619789796
2,21,5.02,105.76979720128,103.9,"SS",1058.081505,0.7137605,44.1643,10.4458,44.7679,9.4478,135.868663968868,4900.21504409726,60.6328422786503,4972.18326259924
2,22,5.02,154.870913989684,153.6,"SS",744.53735,0.12425,44.1643,10.4458,43.3292,11.9663,135.868663968868,4900.21504409726,254.045438337667,4801.8431725429
2,23,5.02,164.992363459646,163.8,"SS",277.,0.465199,44.1643,10.4458,43.4584,12.2336,135.868663968868,4900.21504409726,276.19395169957,4815.43920262272
2,24,5.02,162.411452798132,161.2,"SS",372.542497,1.081557,44.1643,10.4458,45.606,10.217,135.868663968868,4900.21504409726,127.030263695303,5061.4095341681
2,25,5.02,156.95391043233,155.7,"SS",659.198177,0.142143,44.1643,10.4458,43.8011,12.3205,135.868663968868,4900.21504409726,284.453698113543,4853.27170997875
2,26,5.02,62.5182373391957,59.3,"SS",616.915726,2.8081125,44.1643,10.4458,43.7956,10.9795,135.868663968868,4900.21504409726,176.543987196891,4857.03185261451
2,27,5.02,116.88917828439,115.2,"SS",341.485676,0.816744,44.1643,10.4458,44.2895,11.877,135.868663968868,4900.21504409726,250.833707755766,4908.77195238917
2,28,5.02,80.5707763398119,78.1,"SS",462.180153,3.902441,44.1643,10.4458,43.7744,11.2551,135.868663968868,4900.21504409726,198.611212771869,4853.63552770623
2,29,5.02,190.133768699829,189.1,"SS",494.494954,0.583874,44.1643,10.4458,45.7054,9.4291,135.868663968868,4900.21504409726,66.3654602997559,5076.42900482584
2,30,5.02,194.609866142495,193.6,"SS",792.741375,0.1053165,44.1643,10.4458,42.91263,12.11214,135.868663968868,4900.21504409726,264.274633243608,4755.15921298997
2,31,5.02,176.017186660849,174.9,"SS",402.274067,0.306637,44.1643,10.4458,45.4803,9.2321,135.868663968868,4900.21504409726,49.2280184762861,5052.51291098814
2,32,5.02,114.524582513974,112.8,"SS",237.,0.6002585,44.1643,10.4458,45.1495,10.7897,135.868663968868,4900.21504409726,169.029338121323,5008.1871135031
2,33,5.02,68.3315446920381,65.4,"SS",259.711599,6.0071985,44.1643,10.4458,44.6297,10.9492,135.868663968868,4900.21504409726,178.681537556991,4949.80248912713
2,34,5.02,196.201630982008,195.2,"SS",553.164478,0.0833825,44.1643,10.4458,43.6292,12.7595,135.868663968868,4900.21504409726,319.252699446573,4833.12928944314
2,35,5.02,82.3167662144232,79.9,"SS",548.95864,0.950959,44.1643,10.4458,44.3128,11.4248,135.868663968868,4900.21504409726,214.867080125859,4912.83444046461
2,36,5.02,196.201630982008,195.2,"SS",518.414094,0.463187,44.1643,10.4458,43.263,12.5246,135.868663968868,4900.21504409726,299.093018405432,4792.99653031651
2,37,5.02,51.6462002474529,47.7,"SS",710.677676,4.596073,44.1643,10.4458,44.5834,10.3163,135.868663968868,4900.21504409726,128.181249289802,4947.35289585613
2,38,5.02,140.898154707576,139.5,"SS",264.,0.4941905,44.1643,10.4458,45.3082,11.1724,135.868663968868,4900.21504409726,199.95042614576,5024.31859374446
2,39,5.02,145.156742867839,143.8,"SS",315.2123,0.390201,44.1643,10.4458,45.4056,9.9307,135.868663968868,4900.21504409726,103.297630450715,5040.5221026545
2,40,5.02,189.139234427974,188.1,"SS",334.777632,0.0529327,44.1643,10.4458,42.84906,11.90967,135.868663968868,4900.21504409726,247.487236095558,4748.6868827749
2,41,5.02,189.039784172539,188,"SS",321.,0.4345855,44.1643,10.4458,45.639971,11.609983,135.868663968868,4900.21504409726,235.809130478468,5059.63821797386
2,42,5.02,107.341930297531,105.5,"SS",248.721221,1.6241115,44.1643,10.4458,45.0511,10.9199,135.868663968868,4900.21504409726,178.711913206681,4996.73013714398
2,43,5.02,117.67769542271,116,"SS",1001.609884,0.393862,44.1643,10.4458,43.9048,11.847,135.868663968868,4900.21504409726,246.802120018833,4866.13296761119
2,44,5.02,101.352848997944,99.4,"SS",301.790822,0.9307555,44.1643,10.4458,44.8778,11.1992,135.868663968868,4900.21504409726,199.801585448789,4976.40654006146
2,45,5.02,90.2,88,"SS",208.,0.6751205,44.1643,10.4458,44.8873,10.8987,135.868663968868,4900.21504409726,176.120428701068,4978.61856189356
2,46,5.02,165.588043046592,164.4,"SS",413.017,1.013795,44.1643,10.4458,45.6429,10.504,135.868663968868,4900.21504409726,149.639382577932,5064.21114426426
2,47,5.02,51.1847633578588,47.2,"SS",526.413598,3.009165,44.1643,10.4458,44.35085,10.9765,135.868663968868,4900.21504409726,179.320211435128,4918.71979223523
2,48,5.02,166.481620607201,165.3,"SS",695.425411,0.2105645,44.1643,10.4458,45.6378,10.7319,135.868663968868,4900.21504409726,167.367992624925,5062.67154100017
2,49,5.02,166.481620607201,165.3,"SS",868.680983,0.296251,44.1643,10.4458,45.4536,11.4876,135.868663968868,4900.21504409726,225.364663783806,5039.34471808824
2,50,5.02,20.3735122156196,4.8,"SS",461.898558,15.323094,44.1643,10.4458,44.1594,10.3864,135.868663968868,4900.21504409726,131.088435984315,4899.93605972165
3,51,4.93,180.132175892704,179.9,"NF",1417.320706,0.1500355,44.5418,6.6932,46.08007,7.40815,-159.933571826645,4965.72749812934,-86.9392234644253,5131.03461153974
3,52,4.93,195.314108020491,195.1,"NF",1318.656565,0.118571,44.5418,6.6932,46.05053,7.96399,-159.933571826645,4965.72749812934,-44.2671543944057,5123.78125060071
3,53,4.93,198.710444596755,198.5,"NF",535.,0.231086,44.5418,6.6932,46.31724,6.9666,-159.933571826645,4965.72749812934,-118.383897395287,5160.74802087658
3,54,4.93,170.844814939875,170.6,"NF",1329.214201,0.134451,44.5418,6.6932,46.06771,6.93499,-159.933571826645,4965.72749812934,-123.650309791127,5133.28378075255
3,55,4.93,194.914547409474,194.7,"NF",365.,0.217876,44.5418,6.6932,46.229012,7.361916,-159.933571826645,4965.72749812934,-88.9127689453795,5147.92130943247
3,56,4.93,195.71367042657,195.5,"NF",565.,0.302863,44.5418,6.6932,46.2328,7.3832,-159.933571826645,4965.72749812934,-87.2315511909822,5148.18337534255
